[cs-service][INFO] [2016-05-04 09:34:17] org.springframework.test.context.support.AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames(256) | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
[cs-service][INFO] [2016-05-04 09:34:17] org.springframework.test.context.support.AbstractTestContextBootstrapper.getTestExecutionListeners(182) | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5673ef7, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@3d56cce6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@da62f80, org.springframework.test.context.transaction.TransactionalTestExecutionListener@19788380, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@37015590]
[cs-service][INFO] [2016-05-04 09:34:17] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [applicationContext-jbpm.xml]
[cs-service][INFO] [2016-05-04 09:34:18] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [applicationContext-service.xml]
[cs-service][INFO] [2016-05-04 09:34:18] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from URL [jar:file:/D:/Repository/com/leweiyou/cs-service/1.0.0-SNAPSHOT/cs-service-1.0.0-SNAPSHOT.jar!/spring-mybatis.xml]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mybatis.xml]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'dataSource': replacing [Generic bean: class [com.alibaba.druid.pool.DruidDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=init; destroyMethodName=close; defined in URL [jar:file:/D:/Repository/com/leweiyou/cs-service/1.0.0-SNAPSHOT/cs-service-1.0.0-SNAPSHOT.jar!/spring-mybatis.xml]] with [Generic bean: class [com.alibaba.druid.pool.DruidDataSource]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=init; destroyMethodName=close; defined in class path resource [spring-mybatis.xml]]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'sqlSessionFactory': replacing [Generic bean: class [org.mybatis.spring.SqlSessionFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/D:/Repository/com/leweiyou/cs-service/1.0.0-SNAPSHOT/cs-service-1.0.0-SNAPSHOT.jar!/spring-mybatis.xml]] with [Generic bean: class [org.mybatis.spring.SqlSessionFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [spring-mybatis.xml]]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'transactionManager': replacing [Generic bean: class [org.springframework.jdbc.datasource.DataSourceTransactionManager]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in URL [jar:file:/D:/Repository/com/leweiyou/cs-service/1.0.0-SNAPSHOT/cs-service-1.0.0-SNAPSHOT.jar!/spring-mybatis.xml]] with [Generic bean: class [org.springframework.jdbc.datasource.DataSourceTransactionManager]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null; defined in class path resource [spring-mybatis.xml]]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'transactionAdvice': replacing [Generic bean: class [org.springframework.transaction.interceptor.TransactionInterceptor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.springframework.transaction.interceptor.TransactionInterceptor]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(829) | Overriding bean definition for bean 'transactionPointcut': replacing [Root bean: class [org.springframework.aop.aspectj.AspectJExpressionPointcut]; scope=prototype; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.aop.aspectj.AspectJExpressionPointcut]; scope=prototype; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[cs-service][INFO] [2016-05-04 09:34:19] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(510) | Refreshing org.springframework.context.support.GenericApplicationContext@28262531: startup date [Wed May 04 09:34:19 CST 2016]; root of context hierarchy
